# Factores de paso de energía final a emsiones de CO2
# Valores del Documento reconocido del RITE de 20/07/2014, página 17
# "Factores de emisión de CO2 y coeficientes de paso a energía primaria de diferentes fuentes de fuentes de energía final consumidas en el sector de edificios en España", Subdirección General de Planificación Energética y Seguimiento, 16/12/2015
# FpA - weighting factors accounting for the resources used to produce this energy
# FpB - weighting factors accounting for the resources avoided by the external grid due to the export
#  Energy carrier         origin          use         step Fpren  Fpnren
MEDIOAMBIENTE,       INSITU,       input,     A, 0.000, 0.000 # in-situ production of this carrier
MEDIOAMBIENTE,       INSITU,       to_grid,   A, 0.000, 0.000 # export to grid is not accounted for
MEDIOAMBIENTE,       INSITU,       to_nEPB,   A, 0.000, 0.000 # export to nEPB uses in step A
MEDIOAMBIENTE,       INSITU,       to_grid,   B, 0.000, 0.000 # Savings to the grid when exporting to grid
MEDIOAMBIENTE,       INSITU,       to_nEPB,   B, 0.000, 0.000 # Savings to the grid when exporting to nEPB uses

# BIOCARBURANTE == BIOMASA DENSIFICADA (PELLETS)
BIOCARBURANTE,       grid,         input,     A, 0.000, 0.018 # Delivered energy
BIOMASA,             grid,         input,     A, 0.000, 0.018 # Delivered energy
BIOMASADENSIFICADA,  grid,         input,     A, 0.000, 0.018 # Delivered energy
CARBON,              grid,         input,     A, 0.000, 0.472 # Delivered energy
# FUELOIL == GASOLEO
FUELOIL,             grid,         input,     A, 0.000, 0.311 # Delivered energy
GASNATURAL,          grid,         input,     A, 0.000, 0.252 # Delivered energy
GASOLEO,             grid,         input,     A, 0.000, 0.311 # Delivered energy
GLP,                 grid,         input,     A, 0.000, 0.254 # Delivered energy
RED1,                grid,         input,     A, 0.000, 0.458 # User defined!, district heating/cooling carrier
RED2,                grid,         input,     A, 0.000, 0.458 # User defined!, district heating/cooling carrier

